NEnergy= 15.2501   Entries 11
7    0.00289854  0.0167761   
8    0.0016416   0           
9    0           0           
10   0           0           
NEnergy= 10.9501   Entries 11
0    0.00979598  0.0135139   
1    0.0660445   0.0603076   
2    0.0982411   0.0705763   
3    0.128125    0.0827171   
4    0.130739    0.0816954   
5    0.0893356   0.0633816   
6    0.0593008   0.0262361   
7    0.00277034  0.0156511   
8    0.00156811  0           
9    0           0           
10   0           0           
NEnergy= 10.8501   Entries 11
0    0.0096856   0.0132386   
1    0.065683    0.0591062   
2    0.0992229   0.0695262   
3    0.131761    0.0816323   
4    0.134052    0.0803021   
5    0.0907116   0.0617424   
6    0.0601543   0.0244668   
7    0.00264435  0.0145741   
8    0.00149601  0           
9    0           0           
10   0           0           
NEnergy= 10.7501   Entries 11
0    0.00957079  0.0129562   
1    0.06532     0.0578723   
2    0.100302    0.0684434   
3    0.13563     0.0804435   
4    0.137512    0.0786791   
5    0.0920426   0.0599851   
6    0.0609771   0.0227746   
7    0.00252072  0.013546    
8    0.00142537  0           
9    0           0           
10   0           0           
NEnergy= 10.6501   Entries 11
0    0.00945244  0.0126671   
1    0.0649579   0.0566065   
2    0.101479    0.0673248   
3    0.139736    0.0791468   
4    0.141117    0.0768273   
5    0.093324    0.0581111   
6    0.0617663   0.0211604   
7    0.00239959  0.0125672   
8    0.00135628  0           
9    0           0           
10   0           0           
NEnergy= 10.5501   Entries 11
0    0.00933139  0.0123715   
1    0.0645983   0.0553094   
2    0.102756    0.0661669   
3    0.144085    0.0777394   
4    0.144867    0.0747508   
5    0.0945507   0.0561238   
6    0.0625184   0.0196244   
7    0.00228111  0.0116376   
8    0.00128878  0           
9    0           0           
10   0           0           
NEnergy= 10.4501   Entries 11
0    0.0092084   0.0120696   
1    0.0642419   0.0539813   
2    0.104132    0.0649656   
3    0.148677    0.076219    
4    0.14876     0.0724571   
5    0.095718    0.0540282   
6    0.0632301   0.0181664   
7    0.00216537  0.0107569   
8    0.00122295  0           
9    0           0           
10   0           0           
NEnergy= 10.3501   Entries 11
0    0.00908415  0.0117617   
1    0.0638887   0.0526221   
2    0.105605    0.0637168   
3    0.153515    0.0745845   
4    0.152794    0.0699568   
5    0.0968204   0.0518313   
6    0.063898    0.0167854   
7    0.00205246  0.00992428  
8    0.00115882  0           
9    0           0           
10   0           0           
NEnergy= 10.2501   Entries 11
0    0.00895918  0.0114477   
1    0.0635376   0.051232    
2    0.107171    0.0624163   
3    0.1586      0.0728357   
4    0.156966    0.067264    
5    0.0978524   0.0495422   
6    0.0645183   0.0154802   
7    0.00194245  0.00913888  
8    0.00109642  0           
9    0           0           
10   0           0           
NEnergy= 10.1501   Entries 11
0    0.00883394  0.0111279   
1    0.0631864   0.0498107   
2    0.108826    0.0610596   
3    0.16393     0.0709737   
4    0.16127     0.0643958   
5    0.0988081   0.0471716   
6    0.0650871   0.0142491   
7    0.00183541  0.0083995   
8    0.00103579  0           
9    0           0           
10   0           0           
NEnergy= 10.0501   Entries 11
0    0.0087087   0.0108021   
1    0.0628319   0.0483581   
2    0.110563    0.0596426   
3    0.169503    0.0690004   
4    0.165701    0.0613727   
5    0.099681    0.0447321   
6    0.0656002   0.0130902   
7    0.00173138  0.00770482  
8    0.000976926 0           
9    0           0           
10   0           0           
NEnergy= 9.95005   Entries 11
0    0.00858363  0.0104706   
1    0.0624698   0.0468739   
2    0.112373    0.058161    
3    0.175318    0.0669192   
4    0.170253    0.0582174   
5    0.100464    0.042238    
6    0.0660529   0.0120013   
7    0.00163039  0.00705338  
8    0.000919853 0           
9    0           0           
10   0           0           
NEnergy= 9.85005   Entries 11
0    0.00845871  0.0101332   
1    0.0620949   0.045358    
2    0.11425     0.0566114   
3    0.181369    0.0647347   
4    0.174919    0.0549554   
5    0.10115     0.039705    
6    0.0664403   0.0109801   
7    0.00153246  0.00644363  
8    0.000864573 0           
9    0           0           
10   0           0           
NEnergy= 9.75005   Entries 11
0    0.00833378  0.00979006  
1    0.0617008   0.0438107   
2    0.116181    0.0549907   
3    0.187652    0.0624526   
4    0.179691    0.0516141   
5    0.10173     0.0371498   
6    0.0667568   0.0100242   
7    0.00143763  0.00587397  
8    0.000811089 0           
9    0           0           
10   0           0           
NEnergy= 9.65005   Entries 11
0    0.00820857  0.00944125  
1    0.0612805   0.0422322   
2    0.118156    0.0532967   
3    0.194164    0.06008     
4    0.18456     0.0482223   
5    0.102194    0.0345902   
6    0.0669962   0.00913099  
7    0.0013459   0.00534273  
8    0.000759403 0           
9    0           0           
10   0           0           
NEnergy= 9.55005   Entries 11
0    0.00808265  0.00908693  
1    0.0608262   0.0406236   
2    0.120163    0.0515282   
3    0.200897    0.0576253   
4    0.189516    0.04481     
5    0.102532    0.0320445   
6    0.0671517   0.00829797  
7    0.00125729  0.00484825  
8    0.000709518 0           
9    0           0           
10   0           0           
NEnergy= 9.45005   Entries 11
0    0.00795736  0.00872859  
1    0.0603387   0.0389886   
2    0.12219     0.0496787   
3    0.207827    0.0550929   
4    0.19454     0.0414073   
5    0.102745    0.0295318   
6    0.0672247   0.0075248   
7    0.00117225  0.00439015  
8    0.000661671 0           
9    0           0           
10   0           0           
NEnergy= 9.35005   Entries 11
0    0.00782829  0.00836409  
1    0.0597919   0.0373247   
2    0.124227    0.0477636   
3    0.214987    0.052505    
4    0.199641    0.0380447   
5    0.102793    0.0270693   
6    0.0671877   0.00680424  
7    0.00108994  0.0039641   
8    0.00061539  0           
9    0           0           
10   0           0           
NEnergy= 9.25005   Entries 11
0    0.00769693  0.00799547  
1    0.0591884   0.0356381   
2    0.126262    0.0457797   
3    0.22235     0.0498688   
4    0.204796    0.0347513   
5    0.10267     0.0246753   
6    0.0670392   0.00613635  
7    0.00101087  0.00356995  
8    0.000570953 0           
9    0           0           
10   0           0           
NEnergy= 9.15005   Entries 11
0    0.00756287  0.00762363  
1    0.0585225   0.0339335   
2    0.128287    0.0437333   
3    0.22991     0.0471986   
4    0.209991    0.0315552   
5    0.10236     0.0223669   
6    0.0667669   0.00551881  
7    0.00093511  0.00320622  
8    0.00052839  0           
9    0           0           
10   0           0           
NEnergy= 9.05005   Entries 11
0    0.00742591  0.00724984  
1    0.0577914   0.0322174   
2    0.130297    0.0416331   
3    0.237657    0.0445107   
4    0.215209    0.0284829   
5    0.101838    0.0201599   
6    0.0663569   0.00494944  
7    0.000862748 0.00287149  
8    0.000487746 0           
9    0           0           
10   0           0           
NEnergy= 8.95005   Entries 11
0    0.00728627  0.00687581  
1    0.0569959   0.030498    
2    0.132287    0.0394912   
3    0.245577    0.0418233   
4    0.220429    0.0255582   
5    0.101082    0.0180689   
6    0.065794    0.00442624  
7    0.000793902 0.00256448  
8    0.000449083 0           
9    0           0           
10   0           0           
NEnergy= 8.85005   Entries 11
0    0.00714481  0.00650379  
1    0.0561428   0.0287862   
2    0.134259    0.0373236   
3    0.253647    0.0391573   
4    0.225625    0.0228026   
5    0.100067    0.0161064   
6    0.0650624   0.00394744  
7    0.000728721 0.00228403  
8    0.000412481 0           
9    0           0           
10   0           0           
NEnergy= 8.75005   Entries 11
0    0.00700336  0.00613672  
1    0.0552473   0.0270959   
2    0.136219    0.0351506   
3    0.261832    0.0365366   
4    0.230759    0.0202345   
5    0.0987677   0.0142835   
6    0.0641473   0.00351149  
7    0.000667396 0.00202913  
8    0.000378043 0           
9    0           0           
10   0           0           
NEnergy= 8.65005   Entries 11
0    0.00686514  0.00577843  
1    0.0543367   0.0254447   
2    0.138179    0.0329981   
3    0.270072    0.0339887   
4    0.235779    0.0178694   
5    0.0971687   0.0126093   
6    0.0630387   0.00311711  
7    0.000610164 0.00179892  
8    0.000345902 0           
9    0           0           
10   0           0           
NEnergy= 8.55005   Entries 11
0    0.00673544  0.00543382  
1    0.0534553   0.0238549   
2    0.140157    0.0308979   
3    0.278267    0.0315458   
4    0.240609    0.0157199   
5    0.0952677   0.011091    
6    0.0617362   0.00276334  
7    0.000557328 0.00159275  
8    0.000316227 0           
9    0           0           
10   0           0           
NEnergy= 8.45005   Entries 11
0    0.00662239  0.00510919  
1    0.0526706   0.0223544   
2    0.142176    0.0288894   
3    0.286259    0.0292456   
4    0.24514     0.0137958   
5    0.093089    0.00973445  
6    0.060256    0.00244954  
7    0.000509267 0.00141012  
8    0.000289234 0           
9    0           0           
10   0           0           
NEnergy= 8.35005   Entries 11
0    0.0065382   0.00481253  
1    0.0520832   0.0209782   
2    0.14427     0.0270203   
3    0.293805    0.0271322   
4    0.249217    0.0121044   
5    0.0906967   0.00854365  
6    0.0586406   0.0021754   
7    0.000466463 0.00125079  
8    0.000265197 0           
9    0           0           
10   0           0           
NEnergy= 8.25005   Entries 11
0    0.00650052  0.00455381  
1    0.0518372   0.0197692   
2    0.14648     0.0253474   
3    0.300551    0.0252573   
4    0.252625    0.0106506   
5    0.0882093   0.00752143  
6    0.0569671   0.00194099  
7    0.000429512 0.00111469  
8    0.000244461 0           
9    0           0           
10   0           0           
NEnergy= 8.15005   Entries 11
0    0.00653423  0.00434519  
1    0.0521342   0.0187785   
2    0.148865    0.0239362   
3    0.306007    0.0236793   
4    0.255078    0.00943711  
5    0.0858078   0.00666918  
6    0.0553526   0.00174666  
7    0.000399132 0.00100191  
8    0.000227438 0           
9    0           0           
10   0           0           
NEnergy= 8.05005   Entries 11
0    0.00667311  0.00420088  
1    0.0532456   0.0180649   
2    0.151511    0.0228582   
3    0.309548    0.0224612   
4    0.256216    0.00846362  
5    0.083727    0.00598649  
6    0.0539484   0.00159282  
7    0.000376142 0.000912626 
8    0.000214607 0           
9    0           0           
10   0           0           
NEnergy= 7.95005   Entries 11
0    0.00696096  0.00413629  
1    0.055521    0.0176903   
2    0.154549    0.0221842   
3    0.310448    0.0216639   
4    0.255617    0.00772566  
5    0.0822211   0.00547016  
6    0.0529176   0.00147965  
7    0.000361385 0.000846835 
8    0.00020646  0           
9    0           0           
10   0           0           
NEnergy= 7.85005   Entries 11
0    0.00745134  0.00416629  
1    0.0593845   0.017712    
2    0.158179    0.0219726   
3    0.307971    0.0213359   
4    0.252846    0.00721245  
5    0.0814962   0.00511271  
6    0.0523916   0.00140646  
7    0.000355595 0.000804059 
8    0.000203435 0           
9    0           0           
10   0           0           
NEnergy= 7.75005   Entries 11
0    0.0082048   0.00430237  
1    0.0653109   0.0181701   
2    0.162683    0.0222521   
3    0.301507    0.0214971   
4    0.247513    0.00690449  
5    0.081622    0.00490059  
6    0.0524137   0.00137099  
7    0.000359185 0.000782933 
8    0.000205788 0           
9    0           0           
10   0           0           
NEnergy= 7.65005   Entries 11
0    0.00928314  0.00454904  
1    0.0737781   0.0190725   
2    0.168432    0.0230032   
3    0.29073     0.0221221   
4    0.239363    0.00677173  
5    0.0824562   0.00481281  
6    0.0528911   0.00136877  
7    0.000372012 0.000780834 
8    0.000213461 0           
9    0           0           
10   0           0           
NEnergy= 7.55005   Entries 11
0    0.0107407   0.00490041  
1    0.0851963   0.0203813   
2    0.175841    0.0241426   
3    0.27572     0.0231263   
4    0.228346    0.00677346  
5    0.0836238   0.00482075  
6    0.0535821   0.00139278  
7    0.00039318  0.000793703 
8    0.000225964 0           
9    0           0           
10   0           0           
NEnergy= 7.45005   Entries 11
0    0.0126138   0.0053382   
1    0.0998224   0.0220057   
2    0.185302    0.0255196   
3    0.256992    0.0243637   
4    0.214664    0.00686081  
5    0.0845784   0.00488984  
6    0.0541368   0.00143374  
7    0.000420962 0.000816202 
8    0.000242328 0           
9    0           0           
10   0           0           
NEnergy= 7.35005   Entries 11
0    0.0149096   0.00583227  
1    0.117672    0.0238074   
2    0.197072    0.0269289   
3    0.235447    0.0256394   
4    0.198769    0.00698182  
5    0.0847366   0.00498316  
6    0.054183    0.00148101  
7    0.000452923 0.000842257 
8    0.000261168 0           
9    0           0           
10   0           0           
NEnergy= 7.25005   Entries 11
0    0.0175961   0.00634481  
1    0.138438    0.0256196   
2    0.211156    0.0281426   
3    0.212243    0.02674     
4    0.181337    0.00708862  
5    0.0836405   0.00506652  
6    0.0534301   0.00152421  
7    0.000486266 0.000865959 
8    0.000280885 0           
9    0           0           
10   0           0           
NEnergy= 7.15005   Entries 11
0    0.0205922   0.00683835  
1    0.161413    0.0272833   
2    0.227184    0.0289594   
3    0.188665    0.0274792   
4    0.163218    0.00714593  
5    0.0810946   0.00511453  
6    0.0517559   0.00155521  
7    0.000518427 0.000882704 
8    0.000299999 0           
9    0           0           
10   0           0           
NEnergy= 7.05005   Entries 11
0    0.0237579   0.00728847  
1    0.185408    0.0286992   
2    0.244296    0.0292666   
3    0.166034    0.0277548   
4    0.145403    0.00714053  
5    0.077249    0.00511755  
6    0.049259    0.00157052  
7    0.000547967 0.000890533 
8    0.000317676 0           
9    0           0           
10   0           0           
NEnergy= 6.95005   Entries 11
0    0.0268787   0.00770239  
1    0.20862     0.0298993   
2    0.261       0.0291093   
3    0.145689    0.0276135   
4    0.129021    0.0070924   
5    0.072631    0.00508968  
6    0.0462776   0.00157407  
7    0.000575875 0.000891696 
8    0.00033448  0           
9    0           0           
10   0           0           
NEnergy= 6.85005   Entries 11
0    0.0296371   0.0081472   
1    0.228393    0.0311495   
2    0.274942    0.0287672   
3    0.129083    0.0273222   
4    0.115412    0.00706977  
5    0.0681619   0.00507982  
6    0.0433991   0.00158089  
7    0.000607613 0.000894719 
8    0.000353585 0           
9    0           0           
10   0           0           
NEnergy= 6.75005   Entries 11
0    0.0315561   0.00879555  
1    0.240736    0.0331081   
2    0.282472    0.0288487   
3    0.118019    0.0274587   
4    0.106313    0.00721348  
5    0.0652138   0.00518938  
6    0.0414964   0.00162291  
7    0.000656623 0.000917653 
8    0.00038284  0           
9    0           0           
10   0           0           
NEnergy= 6.65005   Entries 11
0    0.0318951   0.0100031   
1    0.239445    0.0370928   
2    0.277835    0.0304431   
3    0.115088    0.0290605   
4    0.104216    0.00778     
5    0.0657679   0.00560355  
6    0.0418277   0.00175893  
7    0.000750736 0.000993655 
8    0.000438562 0           
9    0           0           
10   0           0           
NEnergy= 6.55005   Entries 11
0    0.0294837   0.0124131   
