#Positive parity populations listed in first column
NEnergy= 9.55005   Entries 13
NEnergy= 6.8500515   Entries 13
0    0.0064745   0.0307748   
1    0.0248900   0.2393035   
2    0.0235975   0.2888922   
3    0.0227868   0.1342660   
4    0.0065725   0.1162867   
5    0.0047225   0.0597487   
6    0.0014575   0.0380133   
7    0.0009242   0.0005447   
8    0.0002209   0.0003363   
9    0.0001235   0.0000415   
10   0.0000000   0.0000224   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.7500515   Entries 13
0    0.0068244   0.0326684   
1    0.0259945   0.2521513   
2    0.0238526   0.2971807   
3    0.0230700   0.1224983   
4    0.0067104   0.1068069   
5    0.0048276   0.0572021   
6    0.0015054   0.0363678   
7    0.0009551   0.0005914   
8    0.0002312   0.0003651   
9    0.0001292   0.0000439   
10   0.0000000   0.0000237   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.6500515   Entries 13
0    0.0076728   0.0332083   
1    0.0288469   0.2531117   
2    0.0252017   0.2949316   
3    0.0244264   0.1184540   
4    0.0071920   0.1037698   
5    0.0051805   0.0573425   
6    0.0016302   0.0364358   
7    0.0010348   0.0006743   
8    0.0002537   0.0004164   
9    0.0001416   0.0000488   
10   0.0000000   0.0000263   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.5500515   Entries 13
0    0.0097406   0.0311420   
1    0.0360060   0.2313100   
2    0.0293716   0.2719922   
3    0.0285274   0.1271822   
4    0.0084810   0.1117380   
5    0.0061166   0.0631640   
6    0.0019407   0.0401168   
7    0.0012327   0.0008468   
8    0.0003060   0.0005229   
9    0.0001707   0.0000595   
10   0.0000000   0.0000320   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.4500515   Entries 13
0    0.0110517   0.0283664   
1    0.0412303   0.2041997   
2    0.0350348   0.2449352   
3    0.0340656   0.1394413   
4    0.0101128   0.1227093   
5    0.0073034   0.0705196   
6    0.0023325   0.0447780   
7    0.0014827   0.0010776   
8    0.0003730   0.0006654   
9    0.0002079   0.0000733   
10   0.0000000   0.0000395   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.3500515   Entries 13
0    0.0124895   0.0268868   
1    0.0465397   0.1893195   
2    0.0394396   0.2292035   
3    0.0383686   0.1438740   
4    0.0113204   0.1266747   
5    0.0081859   0.0737125   
6    0.0026324   0.0468000   
7    0.0016745   0.0012882   
8    0.0004265   0.0007955   
9    0.0002376   0.0000849   
10   0.0000000   0.0000457   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.2500515   Entries 13
0    0.0139217   0.0258414   
1    0.0517590   0.1786098   
2    0.0435463   0.2173875   
3    0.0423702   0.1457123   
4    0.0123827   0.1282599   
5    0.0089657   0.0753342   
6    0.0029011   0.0478341   
7    0.0018467   0.0015074   
8    0.0004762   0.0009310   
9    0.0002651   0.0000961   
10   0.0000000   0.0000516   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.1500515   Entries 13
0    0.0153672   0.0250252   
1    0.0569905   0.1701483   
2    0.0475548   0.2076943   
3    0.0462652   0.1461297   
4    0.0133609   0.1285193   
5    0.0096865   0.0760151   
6    0.0031520   0.0482826   
7    0.0020079   0.0017433   
8    0.0005242   0.0010766   
9    0.0002916   0.0001072   
10   0.0000000   0.0000576   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.0500515   Entries 13
0    0.0168383   0.0243459   
1    0.0622906   0.1630788   
2    0.0515454   0.1993241   
3    0.0501317   0.1456311   
4    0.0142787   0.1279179   
5    0.0103654   0.0760556   
6    0.0033899   0.0483381   
7    0.0021612   0.0020009   
8    0.0005711   0.0012358   
9    0.0003175   0.0001185   
10   0.0000000   0.0000637   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.9500515   Entries 13
0    0.0183432   0.0237518   
1    0.0676924   0.1569288   
2    0.0555588   0.1918351   
3    0.0540088   0.1444850   
4    0.0151473   0.1267096   
5    0.0110105   0.0756328   
6    0.0036170   0.0481151   
7    0.0023078   0.0022850   
8    0.0006173   0.0014112   
9    0.0003429   0.0001300   
10   0.0000000   0.0000698   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.8500515   Entries 13
0    0.0198870   0.0232110   
1    0.0732173   0.1514076   
2    0.0596182   0.1849554   
3    0.0579181   0.1428505   
4    0.0159722   0.1250490   
5    0.0116257   0.0748624   
6    0.0038338   0.0476888   
7    0.0024482   0.0026003   
8    0.0006628   0.0016058   
9    0.0003679   0.0001418   
10   0.0000000   0.0000761   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.7500515   Entries 13
0    0.0214736   0.0227021   
1    0.0788800   0.1463238   
2    0.0637373   0.1785058   
3    0.0618722   0.1408288   
4    0.0167558   0.1230369   
5    0.0122124   0.0738242   
6    0.0040407   0.0471121   
7    0.0025826   0.0029521   
8    0.0007077   0.0018229   
9    0.0003925   0.0001539   
10   0.0000000   0.0000825   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.6500515   Entries 13
0    0.0231060   0.0222103   
1    0.0846915   0.1415455   
2    0.0679241   0.1723625   
3    0.0658779   0.1384875   
4    0.0174989   0.1207420   
5    0.0127712   0.0725751   
6    0.0042371   0.0464236   
7    0.0027106   0.0033465   
8    0.0007517   0.0020661   
9    0.0004166   0.0001662   
10   0.0000000   0.0000891   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.5500515   Entries 13
0    0.0247866   0.0217247   
1    0.0906603   0.1369784   
2    0.0721831   0.1664372   
3    0.0699382   0.1358733   
4    0.0182006   0.1182126   
5    0.0133013   0.0711566   
6    0.0044225   0.0456525   
7    0.0028319   0.0037908   
8    0.0007948   0.0023400   
9    0.0004402   0.0001787   
10   0.0000000   0.0000958   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
