#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
NEnergy= 5.7500515   Entries 13
0    0.0164849   0.0196598   
1    0.0627838   0.1376205   
2    0.0563459   0.1764361   
3    0.0549005   0.1356619   
4    0.0190528   0.1310049   
5    0.0138984   0.0998536   
6    0.0041701   0.0637552   
7    0.0027852   0.0023415   
8    0.0009614   0.0014495   
9    0.0005386   0.0001922   
10   0.0000000   0.0001029   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.6500515   Entries 13
0    0.0180434   0.0193171   
1    0.0685381   0.1336802   
2    0.0610469   0.1710670   
3    0.0594127   0.1336375   
4    0.0202636   0.1281924   
5    0.0147903   0.0966745   
6    0.0044364   0.0617616   
7    0.0029614   0.0026309   
8    0.0010227   0.0016285   
9    0.0005723   0.0002102   
10   0.0000000   0.0001125   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.5500515   Entries 13
0    0.0196964   0.0189819   
1    0.0746164   0.1299281   
2    0.0659489   0.1658686   
3    0.0641013   0.1313192   
4    0.0214498   0.1250583   
5    0.0156648   0.0931572   
6    0.0046931   0.0595732   
7    0.0031311   0.0029487   
8    0.0010822   0.0018250   
9    0.0006047   0.0002288   
10   0.0000000   0.0001224   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.4500515   Entries 13
0    0.0214354   0.0186427   
1    0.0809828   0.1262754   
2    0.0710055   0.1607556   
3    0.0689191   0.1287282   
4    0.0225930   0.1216797   
5    0.0165086   0.0894617   
6    0.0049365   0.0572928   
7    0.0032921   0.0032957   
8    0.0011392   0.0020397   
9    0.0006358   0.0002479   
10   0.0000000   0.0001326   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.3500515   Entries 13
0    0.0232778   0.0182873   
1    0.0877013   0.1226459   
2    0.0762666   0.1556509   
3    0.0739058   0.1258393   
4    0.0236890   0.1180511   
5    0.0173180   0.0856085   
6    0.0051624   0.0549356   
7    0.0034417   0.0036759   
8    0.0011929   0.0022747   
9    0.0006650   0.0002673   
10   0.0000000   0.0001429   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.2500515   Entries 13
0    0.0252311   0.0179113   
1    0.0947800   0.1189579   
2    0.0816890   0.1504502   
3    0.0790296   0.1226673   
4    0.0247251   0.1142201   
5    0.0180851   0.0817125   
6    0.0053719   0.0525762   
7    0.0035809   0.0040984   
8    0.0012442   0.0025358   
9    0.0006927   0.0002871   
10   0.0000000   0.0001534   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.1500515   Entries 13
0    0.0273066   0.0175076   
1    0.1022582   0.1151783   
2    0.0872907   0.1451279   
3    0.0842990   0.1192037   
4    0.0256897   0.1101887   
5    0.0188009   0.0777831   
6    0.0055605   0.0502230   
7    0.0037068   0.0045677   
8    0.0012923   0.0028257   
9    0.0007186   0.0003071   
10   0.0000000   0.0001641   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.0500515   Entries 13
0    0.0295108   0.0170708   
1    0.1101494   0.1112699   
2    0.0930498   0.1396492   
3    0.0896912   0.1154513   
4    0.0265658   0.1059822   
5    0.0194537   0.0738776   
6    0.0057250   0.0479153   
7    0.0038175   0.0050906   
8    0.0013369   0.0031486   
9    0.0007426   0.0003271   
10   0.0000000   0.0001748   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.9500515   Entries 13
0    0.0318638   0.0165965   
1    0.1185165   0.1071987   
2    0.0989834   0.1339762   
3    0.0952186   0.1114020   
4    0.0273434   0.1015912   
5    0.0200363   0.0699848   
6    0.0058630   0.0456501   
7    0.0039116   0.0056783   
8    0.0013777   0.0035112   
9    0.0007644   0.0003471   
10   0.0000000   0.0001854   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.8500515   Entries 13
0    0.0343894   0.0160754   
1    0.1274452   0.1029263   
2    0.1051418   0.1280777   
3    0.1009151   0.1070237   
4    0.0280112   0.0969888   
5    0.0205399   0.0660780   
6    0.0059686   0.0434154   
7    0.0039850   0.0063406   
8    0.0014131   0.0039194   
9    0.0007831   0.0003664   
10   0.0000000   0.0001957   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.7500515   Entries 13
0    0.0370756   0.0155142   
1    0.1368637   0.0984565   
2    0.1113891   0.1219553   
3    0.1066666   0.1023909   
4    0.0285477   0.0922572   
5    0.0209507   0.0622559   
6    0.0060449   0.0412785   
7    0.0040402   0.0070947   
8    0.0014443   0.0043836   
9    0.0007996   0.0003852   
10   0.0000000   0.0002057   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.6500515   Entries 13
0    0.0399489   0.0149044   
1    0.1468659   0.0937584   
2    0.1177774   0.1155877   
3    0.1125075   0.0974742   
4    0.0289445   0.0873614   
5    0.0212616   0.0584657   
6    0.0060860   0.0392134   
7    0.0040729   0.0079568   
8    0.0014693   0.0049135   
9    0.0008127   0.0004027   
10   0.0000000   0.0002150   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.5500515   Entries 13
0    0.0430352   0.0142363   
1    0.1575471   0.0888006   
2    0.1243582   0.1089562   
3    0.1184668   0.0922438   
4    0.0291926   0.0822687   
5    0.0214642   0.0546595   
6    0.0060849   0.0371981   
7    0.0040780   0.0089435   
8    0.0014852   0.0055190   
9    0.0008208   0.0004180   
10   0.0000000   0.0002232   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.4500515   Entries 13
0    0.0463136   0.0135220   
1    0.1688004   0.0836221   
2    0.1309530   0.1021047   
3    0.1243921   0.0868011   
4    0.0292745   0.0770718   
5    0.0215470   0.0509174   
6    0.0060460   0.0352932   
7    0.0040584   0.0100856   
8    0.0014930   0.0062184   
9    0.0008244   0.0004311   
10   0.0000000   0.0002302   
