 Parameters used:

First geneneration spectra extracted for
excitation energies between  6838.-   38. keV
corresponding to y-channels    68 -    0
 Number of spectra=   69
 Ax0 =    39.0 Ax1 =   104.0 Ay0 =    37.5 Ay1 =   100.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      560.0 keV (ch=   5)
 Upper threshold for statistical gammas: 1400.0 keV (ch=  13)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 47  4738.    23843.    15332.     8512. 2.80    1000  1.06  2.80  2.80  2.19  2.03
 46  4638.    23269.    14843.     8426. 2.76    1000  1.07  2.76  2.76  2.17  1.99
 45  4538.    22901.    14459.     8442. 2.71    1000  1.08  2.71  2.71  2.11  1.95
 44  4438.    22652.    14139.     8513. 2.66    1000  1.08  2.66  2.66  2.12  1.95
 43  4338.    22177.    13760.     8416. 2.63    1000  1.10  2.63  2.63  2.11  1.92
 42  4238.    22065.    13519.     8546. 2.58    1000  1.10  2.58  2.58  2.05  1.88
 41  4138.    21691.    13121.     8570. 2.53    1000  1.11  2.53  2.53  2.00  1.84
 40  4038.    21003.    12510.     8492. 2.47    1000  1.13  2.47  2.47  2.05  1.85
 39  3938.    20210.    11971.     8239. 2.45    1000  1.15  2.45  2.45  2.04  1.82
 38  3838.    20191.    11723.     8468. 2.39    1000  1.15  2.38  2.39  1.96  1.78
 37  3738.    19795.    10727.     9068. 2.34    1000  1.15  2.18  2.34  1.91  1.78
 36  3638.    19340.    10420.     8921. 2.30    1000  1.15  2.17  2.30  1.89  1.74
 35  3538.    18844.     9650.     9194. 2.25    1000  1.15  2.05  2.25  1.82  1.68
 34  3438.    18726.     8993.     9732. 2.20    1000  1.15  1.92  2.20  1.72  1.65
 33  3338.    18480.     8564.     9916. 2.16    1000  1.15  1.86  2.16  1.73  1.68
 32  3238.    17892.     7858.    10034. 2.13    1000  1.15  1.78  2.13  1.67  1.65
 31  3138.    17761.     7461.    10301. 2.08    1000  1.15  1.72  2.08  1.63  1.60
 30  3038.    17262.     6666.    10596. 2.06    1000  1.15  1.63  2.06  1.57  1.62
 29  2938.    17042.     6586.    10455. 2.00    1000  1.15  1.63  2.00  1.56  1.57
 28  2838.    16464.     5728.    10736. 1.92    1000  1.15  1.53  1.92  1.47  1.50
 27  2738.    15940.     4708.    11232. 1.83    1000  1.15  1.42  1.83  1.37  1.42
 26  2638.    14921.     4238.    10683. 1.73    1000  1.15  1.40  1.73  1.34  1.38
 25  2538.    14215.     3920.    10295. 1.69    1000  1.15  1.38  1.69  1.32  1.33
 24  2438.    14052.     3753.    10299. 1.63    1000  1.15  1.36  1.63  1.30  1.29
 23  2338.    13467.     3304.    10163. 1.59    1000  1.15  1.33  1.59  1.28  1.28
 22  2238.    12971.     2980.     9991. 1.56    1000  1.15  1.30  1.56  1.25  1.26
 21  2138.    12852.     2542.    10310. 1.52    1000  1.15  1.25  1.52  1.20  1.22
 20  2038.    12864.     2498.    10367. 1.52    1000  1.15  1.24  1.52  1.18  1.19
 19  1938.    13111.     2082.    11029. 1.49    1000  1.15  1.19  1.49  1.19  1.26
 18  1838.    11386.     1358.    10028. 1.40    1000  1.15  1.14  1.40  1.14  1.17
 17  1738.    10104.     1107.     8997. 1.29    1000  1.15  1.12  1.29  1.12  1.07
 16  1638.    10469.      966.     9503. 1.28    1000  1.15  1.10  1.28  1.10  1.04
 15  1538.    10834.      988.     9846. 1.32    1000  1.15  1.10  1.32  1.10  1.06
 14  1438.    12660.      558.    12102. 1.32    1000  1.15  1.05  1.32  1.05  1.04
 13  1338.    18719.      711.    18007. 1.29    1000  1.15  1.04  1.29  1.04  1.00
 12  1238.    23006.      275.    22731. 1.24    1000  1.15  1.01  1.24  1.01  0.94
 11  1138.    13180.        0.    13180. 1.17    1000  1.15  1.00  1.17  1.00  0.86
 10  1038.     3819.        0.     3819. 1.13    1000  1.15  1.00  1.13  1.00  0.80
  9   938.      841.        0.      841. 0.98    1000  1.15  1.00  0.98  1.00  0.66
  8   838.      144.        0.      144. 0.89    1000  1.15  1.00  0.89  1.00  0.57
  7   738.       18.        0.       18. 0.93    1000  1.15  1.00  0.93  1.00  0.55
  6   638.       11.        0.       11. 1.14    1000  1.15  1.00  1.14  1.00  0.60
  5   538.        7.        0.        7. 0.96       0  1.15  1.00  0.96  1.00  0.42
  4   438.        3.        0.        3. 0.78       0  1.15  1.00  0.78  1.00  0.36
  3   338.        2.        0.        2. 0.60       0  1.15  1.00  0.60  1.00  0.36
  2   238.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
  1   138.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
  0    38.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00

Iteration number:   3
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 68  6838.       59.       46.       14. 4.34       0  0.98  4.34  4.34  5.96  3.24
 67  6738.     1168.      858.      310. 3.77       0  0.97  3.77  3.77  3.32  2.83
 66  6638.     8177.     5969.     2209. 3.70       0  0.98  3.70  3.70  3.08  2.81
 65  6538.    21575.    15640.     5936. 3.63    1000  0.98  3.63  3.63  2.96  2.76
 64  6438.    29460.    21268.     8193. 3.60    1000  0.98  3.60  3.60  2.93  2.73
 63  6338.    29887.    21435.     8452. 3.54    1000  0.98  3.54  3.54  2.88  2.67
 62  6238.    29757.    21201.     8556. 3.48    1000  0.98  3.48  3.48  2.78  2.63
 61  6138.    29634.    21065.     8569. 3.46    1000  0.99  3.46  3.46  2.83  2.60
 60  6038.    29400.    20735.     8665. 3.39    1000  0.98  3.39  3.39  2.75  2.55
 59  5938.    28643.    20131.     8512. 3.36    1000  0.98  3.36  3.36  2.76  2.51
